map_id,team1_id,team2_id,map_name,who_win
289,6665,7718,Ancient,0
715,4411,10577,Inferno,0
157,11251,9455,Nuke,1
524,4608,7532,Mirage,0
404,8637,6667,Overpass,1
474,4869,5752,Mirage,1
84,5005,11588,Overpass,0
208,6667,5752,Inferno,1
626,6665,11654,Ancient,0
692,6665,4411,Nuke,0
699,9928,4991,Nuke,1
265,4608,9565,Inferno,0
343,5752,5005,Inferno,0
276,4494,11251,Inferno,1
123,4869,6665,Nuke,0
135,4869,7175,Overpass,1
481,6667,5995,Inferno,0
557,6665,5995,Dust2,1
59,4494,9565,Overpass,0
144,9565,4494,Nuke,0
521,5005,5973,Ancient,1
198,5995,10973,Mirage,1
235,4869,11595,Mirage,0
193,5995,8297,Mirage,1
333,4608,9565,Mirage,0
179,9455,7020,Dust2,1
203,7718,4494,Mirage,1
107,11595,4494,Inferno,1
349,7020,11654,Dust2,0
405,7175,4494,Nuke,0
63,4411,10577,Overpass,0
412,4608,4494,Inferno,0
410,8297,6665,Mirage,1
377,9565,9215,Inferno,0
380,5995,4991,Inferno,1
570,8135,9455,Mirage,1
421,6667,7020,Mirage,0
451,4411,5995,Ancient,1
76,9565,5973,Dust2,0
523,10399,8038,Mirage,1
115,5995,5005,Nuke,0
389,6665,11585,Nuke,0
21,4411,7718,Vertigo,0
503,7532,4608,Ancient,1
552,5752,6665,Overpass,0
92,10894,8038,Inferno,1
447,5995,7020,Dust2,0
411,4494,10831,Ancient,0
281,7461,6667,Ancient,1
140,7175,9565,Inferno,0
44,10831,10503,Ancient,1
363,5995,4411,Mirage,0
431,5752,11595,Mirage,0
346,7532,11595,Dust2,1
359,10973,4869,Mirage,1
407,5973,5752,Vertigo,1
39,9455,9215,Inferno,0
215,6667,4494,Nuke,0
205,8297,6665,Mirage,0
98,9215,7532,Mirage,1
304,6665,5005,Inferno,0
35,10567,11595,Ancient,0
712,6902,8637,Vertigo,0
339,7532,8297,Vertigo,1
72,4494,6667,Mirage,1
293,6651,4411,Vertigo,0
74,6667,6665,Overpass,1
505,9215,6665,Overpass,1
139,4411,7175,Inferno,0
577,5995,7718,Inferno,1
631,7718,9565,Nuke,0
257,9565,8135,Nuke,1
390,5752,9455,Overpass,1
530,7020,11309,Vertigo,0
51,4411,6667,Nuke,1
519,8135,4608,Mirage,1
95,4608,4411,Ancient,0
591,10399,8038,Overpass,0
0,4869,11251,Vertigo,0
121,7175,9565,Mirage,0
227,8637,9565,Dust2,1
472,6667,5995,Ancient,1
428,11309,6665,Mirage,0
607,4608,6667,Overpass,1
473,4411,4608,Overpass,0
639,4411,7461,Overpass,1
104,9565,5973,Mirage,0
455,5973,10399,Vertigo,0
464,11309,10399,Inferno,1
88,5995,9565,Dust2,1
34,9215,5995,Inferno,1
14,11595,8297,Inferno,1
545,7532,5752,Overpass,0
396,5752,6665,Mirage,0
387,4773,5973,Mirage,1
493,9996,10399,Nuke,0
46,8297,4608,Mirage,1
60,7461,11518,Ancient,0
444,4991,11251,Dust2,1
355,5752,9996,Overpass,0
697,5752,6665,Inferno,1
391,5995,8297,Ancient,1
558,5973,4773,Vertigo,1
459,10503,4494,Ancient,1
303,11616,10973,Overpass,0
102,9996,10399,Inferno,1
446,5005,11588,Inferno,0
221,5973,9215,Ancient,0
297,8297,7532,Nuke,1
386,6211,11585,Dust2,1
468,11251,9455,Vertigo,0
90,8668,9455,Nuke,1
117,6665,4869,Ancient,0
604,4869,7461,Vertigo,0
566,5005,11309,Nuke,0
367,9215,7718,Ancient,1
329,5752,6667,Nuke,1
58,4991,7532,Vertigo,1
178,11312,9287,Overpass,1
636,6665,7020,Ancient,1
617,8135,4608,Inferno,1
425,5995,9565,Nuke,1
298,10567,9287,Ancient,0
218,4869,9996,Mirage,0
383,8297,4608,Nuke,1
290,5752,11595,Dust2,0
93,6667,4608,Nuke,0
211,8297,7653,Nuke,0
724,11309,9996,Inferno,0
448,6665,7532,Ancient,0
109,4608,5973,Mirage,0
6,4608,7532,Dust2,0
100,10503,4869,Vertigo,0
551,10831,10503,Dust2,1
568,4869,7175,Mirage,0
635,6665,7532,Ancient,1
597,8297,9996,Overpass,1
50,4411,6667,Overpass,0
161,6665,4991,Overpass,1
627,9565,5995,Inferno,1
190,9215,9996,Overpass,0
82,5995,8297,Inferno,0
99,10973,7020,Mirage,0
580,6211,11585,Inferno,1
695,6667,5752,Mirage,1
633,8038,7653,Nuke,1
691,4991,7532,Ancient,0
532,7532,10831,Mirage,0
681,7461,6651,Vertigo,1
621,4494,10503,Mirage,1
409,7175,4494,Ancient,0
275,9215,4863,Dust2,1
37,4608,7175,Inferno,1
458,9215,7532,Nuke,1
418,6947,11044,Mirage,0
312,8297,9996,Inferno,1
698,6665,5995,Inferno,1
57,10831,11518,Dust2,1
326,7718,9565,Vertigo,0
288,4863,9565,Overpass,1
271,6667,11726,Dust2,0
118,4991,11251,Overpass,1
676,6665,9215,Nuke,0
167,8297,5752,Mirage,0
540,4411,7234,Ancient,0
108,5378,4411,Overpass,0
465,6665,7532,Dust2,1
685,6667,11518,Ancient,0
573,5995,8297,Inferno,0
661,7532,6665,Dust2,0
148,10973,4869,Overpass,1
623,9215,11595,Dust2,1
101,9996,8297,Ancient,0
2,4869,5752,Ancient,1
273,5973,5995,Mirage,1
460,4411,8297,Inferno,0
679,4608,6667,Dust2,0
295,6665,7020,Overpass,1
569,9215,8297,Nuke,1
228,4773,9996,Dust2,1
8,4494,10831,Vertigo,0
496,5995,11595,Dust2,0
260,6665,4869,Overpass,0
406,5973,5752,Ancient,1
492,4411,7461,Nuke,1
322,7175,4608,Mirage,1
336,9455,11585,Overpass,0
292,7175,4608,Nuke,0
17,5995,8297,Vertigo,1
717,6667,4991,Overpass,0
200,11595,9455,Inferno,0
544,6667,7532,Nuke,0
735,11654,10333,Ancient,0
426,6667,11309,Inferno,0
199,7532,6667,Overpass,0
348,6651,6667,Inferno,1
675,7020,11251,Dust2,0
217,4608,7175,Ancient,0
345,7461,4991,Overpass,0
279,4869,7532,Mirage,0
649,4494,4411,Ancient,1
186,11588,9799,Overpass,0
245,11595,5422,Inferno,0
261,4773,6947,Nuke,0
320,5995,7718,Nuke,0
294,5005,9215,Inferno,1
274,7532,9565,Vertigo,0
30,4773,10894,Mirage,0
222,8297,5005,Ancient,0
110,6665,4991,Inferno,0
120,4869,10831,Overpass,0
469,4411,5752,Vertigo,1
707,11595,5422,Overpass,0
690,8297,5005,Vertigo,0
119,10503,11251,Vertigo,1
693,8135,11595,Dust2,0
280,11501,10577,Vertigo,1
612,7175,10503,Ancient,1
613,8668,9455,Inferno,0
536,6665,5005,Nuke,0
663,9565,9215,Dust2,0
67,6667,4608,Dust2,1
463,6665,4869,Mirage,1
237,7020,8297,Ancient,0
590,11309,9455,Overpass,0
559,4608,9565,Mirage,0
450,6665,11501,Ancient,0
87,6667,5973,Inferno,0
89,6667,10503,Ancient,1
520,4608,5995,Mirage,0
40,11501,8637,Dust2,0
75,9215,10503,Ancient,1
350,6902,8637,Inferno,0
442,7532,11251,Overpass,0
554,4608,5995,Mirage,1
654,8297,7532,Vertigo,0
300,4869,6667,Ancient,0
313,7718,9565,Overpass,0
223,4869,11518,Dust2,0
253,4869,7175,Ancient,0
721,10503,4411,Mirage,0
491,5973,6667,Inferno,1
667,5995,8297,Nuke,0
439,4608,9215,Dust2,1
666,11251,5422,Vertigo,0
616,7461,6667,Nuke,1
341,8135,6665,Nuke,1
32,10503,6211,Mirage,0
114,9215,7718,Inferno,1
268,10567,8135,Dust2,1
183,5973,11309,Dust2,1
55,4411,4608,Nuke,1
269,5752,4411,Inferno,1
132,4411,7175,Ancient,0
20,8297,5973,Ancient,0
502,6667,11309,Ancient,0
344,4773,9996,Mirage,1
665,7532,8668,Nuke,0
507,6902,4494,Nuke,1
81,11616,6665,Inferno,0
240,11654,10333,Inferno,0
113,7532,10831,Overpass,1
634,11309,9996,Overpass,1
29,5995,8297,Vertigo,1
476,4494,4863,Overpass,0
176,7532,9455,Nuke,0
434,6665,5973,Vertigo,1
572,9565,6667,Mirage,1
219,5995,9565,Inferno,1
611,9455,9215,Vertigo,1
9,7532,6667,Nuke,1
317,8297,9455,Mirage,0
499,6902,10399,Mirage,0
651,5995,9565,Dust2,1
694,7175,4494,Inferno,1
711,6665,7718,Mirage,0
542,4608,5995,Inferno,1
659,8297,6665,Overpass,0
53,9215,4773,Vertigo,1
495,6667,5995,Dust2,1
512,6667,6665,Mirage,0
513,10567,8135,Inferno,1
160,7020,7461,Mirage,0
498,5995,5973,Inferno,0
338,7532,10399,Dust2,0
708,8135,11595,Mirage,1
731,5005,9215,Ancient,1
147,8135,11518,Inferno,0
650,4494,6667,Inferno,1
598,11595,8135,Ancient,1
249,5005,6665,Nuke,1
175,11595,7532,Dust2,1
111,11616,6665,Dust2,1
720,4411,7718,Overpass,0
3,10567,11595,Dust2,1
487,8135,9996,Mirage,0
624,8135,11595,Inferno,1
332,8637,7234,Vertigo,0
152,6665,9565,Vertigo,1
470,5995,6667,Inferno,1
154,6667,4869,Mirage,1
427,7532,10567,Ancient,0
233,6667,7532,Overpass,1
730,9565,4494,Mirage,0
553,7461,10577,Overpass,0
267,6665,7718,Overpass,0
638,4608,10503,Mirage,0
335,4869,11251,Nuke,1
137,4869,11518,Nuke,0
424,5378,4411,Ancient,0
202,11518,9455,Inferno,1
259,10503,4494,Nuke,1
27,7020,8297,Vertigo,0
588,6667,10503,Overpass,0
417,7461,8637,Ancient,0
461,7020,5005,Ancient,0
54,9996,8297,Mirage,0
433,6667,4608,Inferno,1
277,10399,9996,Mirage,0
511,10426,4991,Inferno,1
414,7532,10399,Vertigo,0
301,10567,8135,Nuke,0
173,7175,4991,Mirage,0
238,8135,6665,Mirage,1
15,9928,8135,Mirage,1
739,5973,7020,Ancient,1
660,7653,10894,Mirage,1
174,10577,11518,Inferno,1
602,4773,9565,Nuke,1
686,5995,4991,Mirage,1
533,8297,4773,Inferno,1
155,10503,4411,Overpass,0
136,8637,7234,Dust2,1
733,4411,11518,Inferno,0
594,8637,4773,Dust2,1
732,7175,7020,Nuke,1
471,11588,9996,Mirage,1
510,6667,7532,Dust2,0
600,9215,8297,Overpass,1
408,4869,11595,Vertigo,0
581,10503,4608,Inferno,0
508,4411,11518,Ancient,0
356,5973,11309,Overpass,1
212,9455,11585,Mirage,1
166,6665,9565,Mirage,1
184,5995,9455,Mirage,0
702,4411,4869,Vertigo,1
687,6667,7020,Dust2,0
126,4494,11312,Ancient,0
365,5973,6947,Inferno,0
703,4869,7175,Nuke,0
42,5995,4869,Ancient,0
486,4608,4869,Nuke,1
52,7461,4869,Ancient,0
579,11518,9455,Mirage,1
251,5995,6665,Nuke,0
258,9565,5005,Inferno,0
23,7532,7718,Nuke,0
71,10831,7234,Dust2,0
282,5995,11595,Vertigo,1
664,11312,9287,Dust2,1
655,5973,6667,Ancient,1
618,9455,5973,Overpass,1
149,5973,5995,Vertigo,1
11,9215,11251,Nuke,0
622,10577,11518,Mirage,0
47,4608,4494,Mirage,1
270,8135,6211,Nuke,0
376,7532,6665,Overpass,1
716,6667,4608,Inferno,0
252,4773,9565,Overpass,1
395,9565,4494,Nuke,1
22,9215,4773,Vertigo,0
399,7532,5752,Ancient,1
375,5973,7020,Dust2,0
385,5752,11595,Ancient,0
77,6667,6665,Dust2,0
296,4869,10503,Ancient,1
340,11726,6665,Nuke,1
308,4494,11251,Mirage,1
318,4494,4773,Nuke,0
153,5973,11309,Mirage,0
585,5973,10399,Inferno,0
726,5995,10333,Inferno,0
453,4608,4411,Overpass,0
69,7175,5378,Vertigo,0
438,7175,10503,Overpass,0
500,11251,6211,Vertigo,0
209,6651,4411,Ancient,1
306,4411,9565,Overpass,0
372,9565,4494,Inferno,1
28,5005,9215,Dust2,1
384,7532,9565,Nuke,1
197,4411,11518,Mirage,1
171,4494,9565,Inferno,1
5,7020,4869,Mirage,1
629,4411,7532,Ancient,1
605,7175,6667,Inferno,1
416,9455,4494,Nuke,1
501,8297,11044,Inferno,0
677,5973,11309,Ancient,0
316,7175,5995,Vertigo,0
480,6667,10503,Mirage,0
170,4494,4863,Ancient,0
734,6665,4411,Mirage,0
441,7020,7461,Ancient,0
706,4411,8297,Nuke,0
645,6902,10399,Overpass,0
177,5973,4773,Overpass,1
610,4869,6667,Ancient,1
741,9565,6667,Overpass,1
575,6667,10503,Overpass,0
337,5995,9565,Inferno,0
641,6651,6667,Dust2,1
506,5378,7461,Inferno,0
302,8297,7020,Nuke,1
204,7461,6667,Inferno,0
388,7532,11595,Inferno,1
382,4411,7461,Mirage,1
398,7175,5973,Vertigo,0
133,4869,6902,Mirage,0
41,8637,9565,Vertigo,0
485,10577,11518,Nuke,1
254,11309,9455,Ancient,0
256,8637,4773,Vertigo,0
603,4773,10894,Nuke,0
546,11595,9287,Dust2,0
25,7020,6667,Nuke,1
422,10503,4411,Ancient,1
419,9215,9996,Dust2,0
592,4869,5995,Dust2,1
191,10831,6211,Nuke,0
547,6667,4494,Inferno,0
671,6665,5005,Overpass,1
609,4494,4411,Vertigo,1
4,8297,4773,Vertigo,1
232,7718,4494,Ancient,1
16,11518,11251,Dust2,0
206,7175,11135,Nuke,0
165,8637,7234,Ancient,1
379,8297,7532,Mirage,1
192,6665,4991,Ancient,0
479,9455,5973,Vertigo,1
662,7461,6651,Inferno,0
79,5995,8297,Mirage,1
586,7020,6667,Ancient,1
640,4869,6667,Overpass,1
374,5995,8297,Inferno,0
230,5005,5973,Vertigo,1
729,6665,11501,Dust2,1
608,5378,4411,Vertigo,1
497,4869,7175,Mirage,0
713,9455,9215,Nuke,1
83,4608,10503,Inferno,0
630,10503,4608,Dust2,1
534,7532,5752,Dust2,0
445,5995,4869,Dust2,0
116,4411,11518,Ancient,0
719,4494,4869,Nuke,1
26,9565,4494,Vertigo,0
362,6665,5995,Dust2,1
437,4773,9565,Dust2,0
188,6667,5752,Overpass,0
714,8637,4773,Ancient,0
420,5973,4773,Ancient,0
482,8038,11044,Inferno,0
353,10577,7020,Nuke,0
531,9928,5422,Inferno,1
7,10831,11501,Overpass,1
526,5995,9565,Dust2,1
394,9928,5422,Vertigo,1
576,7532,5752,Dust2,1
475,9565,8135,Mirage,0
128,10973,7020,Vertigo,1
124,5378,5995,Mirage,1
56,8297,6902,Overpass,0
347,7532,6667,Dust2,0
236,7718,9565,Mirage,0
582,4608,4411,Inferno,0
378,8135,9996,Dust2,0
443,4411,4869,Overpass,0
728,4869,7461,Vertigo,0
324,10399,4773,Vertigo,1
141,6651,4411,Ancient,0
61,9455,8038,Inferno,0
477,8297,6902,Nuke,0
19,5995,4869,Nuke,1
429,4411,6667,Inferno,1
657,9565,4494,Dust2,0
701,7461,6651,Overpass,1
291,9215,4863,Inferno,0
278,4411,4869,Nuke,0
122,4608,4411,Mirage,1
696,9565,4869,Nuke,0
311,5752,9455,Vertigo,0
740,4869,4494,Nuke,0
560,4411,5995,Nuke,0
66,4411,7532,Nuke,0
642,6665,4869,Overpass,0
682,11595,8297,Vertigo,1
435,4494,9565,Inferno,1
182,5752,9996,Dust2,1
725,5995,6667,Mirage,1
244,7175,8135,Overpass,0
315,7532,10831,Dust2,0
688,4869,7461,Nuke,0
689,11312,9287,Ancient,0
64,4869,7532,Nuke,0
647,5752,6665,Mirage,1
637,7532,6667,Nuke,1
127,4991,10567,Nuke,1
456,6667,10503,Dust2,0
299,7175,4494,Vertigo,1
134,4608,10503,Ancient,1
574,5973,6667,Mirage,0
648,5973,9996,Ancient,0
538,7020,7234,Dust2,0
331,7718,9565,Vertigo,1
250,9996,9799,Inferno,0
229,4991,11251,Inferno,0
550,9565,6651,Inferno,1
595,11518,9215,Nuke,1
656,9215,5005,Nuke,0
529,11518,9455,Vertigo,0
620,4608,4869,Overpass,0
224,8297,6665,Nuke,1
247,10503,4608,Mirage,1
504,7175,4494,Nuke,1
68,9996,9799,Overpass,0
737,10831,11501,Nuke,1
24,4869,8297,Vertigo,0
321,5995,4411,Inferno,0
669,11588,9996,Ancient,1
430,8297,9943,Inferno,0
145,9215,7718,Ancient,1
185,5995,9565,Inferno,0
537,7653,10894,Overpass,1
38,9565,6651,Mirage,1
561,7653,11588,Nuke,1
91,6667,11251,Overpass,0
351,6667,9565,Dust2,0
549,6651,4411,Vertigo,0
571,9996,10399,Overpass,0
440,7532,6667,Mirage,0
103,5005,11595,Overpass,1
710,4773,6947,Overpass,0
364,5005,6947,Nuke,0
342,6667,7532,Dust2,1
130,6665,7532,Overpass,0
129,5973,7020,Overpass,1
225,4869,5995,Mirage,1
323,6667,7532,Mirage,1
78,6667,4991,Mirage,0
564,6665,5973,Ancient,1
226,9215,4863,Overpass,1
673,4869,5752,Overpass,1
718,7461,9455,Vertigo,0
264,4608,9565,Overpass,0
286,10503,8135,Dust2,1
722,4869,6667,Nuke,0
402,5995,7718,Vertigo,1
255,5005,4411,Overpass,1
736,8135,9455,Overpass,1
563,4869,9565,Dust2,0
535,4869,7461,Mirage,1
328,5752,5005,Dust2,0
672,5995,9565,Mirage,0
354,9455,8038,Nuke,1
325,11251,9455,Mirage,0
283,6665,7718,Inferno,0
285,6665,11501,Nuke,0
401,4869,11251,Dust2,0
361,4411,5752,Overpass,1
516,11616,6665,Ancient,0
207,4869,4608,Dust2,1
373,9455,11585,Inferno,0
172,7175,9565,Overpass,1
330,4608,6667,Mirage,0
112,10503,9287,Overpass,0
423,7532,11251,Nuke,0
196,4494,9565,Nuke,0
80,9565,6667,Inferno,0
567,10831,6211,Ancient,0
449,8297,5752,Vertigo,0
327,9215,4773,Dust2,1
18,5005,9215,Nuke,1
601,9455,11588,Inferno,0
352,11518,11654,Vertigo,0
738,4869,6667,Mirage,1
606,5378,7461,Vertigo,0
31,7175,6667,Nuke,1
562,4608,5973,Ancient,0
525,4869,5995,Ancient,0
370,9455,4494,Inferno,1
266,9215,11251,Vertigo,0
483,4608,4411,Nuke,0
369,4608,7175,Nuke,0
138,4411,4608,Nuke,1
454,4494,11251,Nuke,0
565,9455,5973,Inferno,0
168,11518,9215,Ancient,0
181,7532,6667,Dust2,0
12,5995,4869,Dust2,1
509,7175,5378,Mirage,0
632,5005,6665,Overpass,1
262,7175,11135,Inferno,0
700,4869,4494,Mirage,1
490,4869,7461,Ancient,0
397,5995,6667,Dust2,1
543,4869,9565,Nuke,1
195,8668,9455,Mirage,1
599,4411,7461,Vertigo,1
287,11595,8297,Vertigo,1
539,7532,6665,Nuke,1
239,6665,9215,Overpass,0
653,4869,4494,Overpass,0
596,7175,9565,Mirage,0
43,7020,11309,Dust2,1
643,9565,11251,Dust2,0
97,6667,9565,Nuke,0
234,4869,8297,Nuke,0
742,6667,5973,Inferno,0
514,10894,9799,Dust2,0
527,8297,9943,Vertigo,0
457,11518,9215,Vertigo,0
615,10503,9287,Ancient,0
680,9455,8038,Dust2,0
305,9565,11595,Mirage,1
478,4869,4608,Nuke,1
368,10894,9455,Dust2,1
646,6665,5995,Vertigo,1
187,9565,8135,Dust2,0
70,4869,6902,Ancient,1
358,4869,10503,Mirage,1
169,4869,11501,Ancient,0
62,7532,11251,Dust2,1
668,6665,5995,Ancient,0
400,7532,10399,Overpass,1
164,7020,7461,Vertigo,1
366,5378,5995,Ancient,1
210,5752,9996,Mirage,0
307,10973,10831,Ancient,0
587,11595,5422,Mirage,1
213,7175,9565,Inferno,0
578,4869,7175,Overpass,1
319,4869,6902,Nuke,0
150,4869,6665,Ancient,0
131,7461,9455,Inferno,0
272,6665,5995,Ancient,0
162,6947,11044,Inferno,0
415,4608,4494,Nuke,0
284,6665,10503,Ancient,1
105,4608,6665,Mirage,1
371,4608,4869,Mirage,0
467,6667,4991,Inferno,1
36,5752,9455,Mirage,1
10,4411,10426,Ancient,0
49,5995,6665,Vertigo,0
242,10503,4869,Dust2,0
625,11595,8135,Inferno,1
248,4869,6665,Mirage,1
142,9565,5422,Vertigo,0
488,10503,11251,Dust2,1
727,10503,6665,Inferno,0
555,11616,10333,Overpass,0
106,4411,4608,Mirage,0
556,7020,7234,Vertigo,0
517,10399,8038,Inferno,0
189,5005,7532,Nuke,1
13,7175,10503,Inferno,0
522,11595,8297,Inferno,1
462,11309,9996,Mirage,1
583,6665,7532,Dust2,1
589,11595,8135,Dust2,0
683,7175,8637,Overpass,0
48,6651,4411,Overpass,1
723,5995,11595,Inferno,0
73,10567,11595,Inferno,1
494,4494,6667,Nuke,0
704,4411,5995,Inferno,0
156,8637,9565,Overpass,1
310,5995,6665,Dust2,1
151,4494,9565,Mirage,1
381,4991,7532,Overpass,0
393,9565,4869,Overpass,0
644,5995,4991,Nuke,0
432,6665,7532,Dust2,1
33,7532,5752,Inferno,0
436,4411,4608,Overpass,1
670,11518,5995,Dust2,1
548,11518,11654,Inferno,0
146,11726,6665,Vertigo,1
94,10973,7020,Nuke,1
452,5005,4411,Vertigo,1
705,5005,11585,Nuke,0
194,7020,11309,Ancient,0
263,5973,5752,Vertigo,1
159,4608,11312,Ancient,0
231,5995,9565,Mirage,0
360,7175,4608,Inferno,0
584,4608,10503,Mirage,1
65,6665,7532,Mirage,1
214,9565,5995,Dust2,1
619,6667,4773,Ancient,0
484,4411,7532,Overpass,0
180,5973,9215,Inferno,0
658,9996,8297,Overpass,1
158,5973,9996,Overpass,0
709,6667,4773,Inferno,0
528,9215,5995,Ancient,1
163,4869,9565,Mirage,1
96,10426,4991,Nuke,1
243,7532,9565,Mirage,1
